SERIAL_NO,년도,행정구역코드,주차장명,소재지,환승수단,주차장형식,주차급지,주차면수,일반주차요금,환승주차요금,운영기관,자료기준일,위도,경도
0001000010,2020,3105000,부천북부역,경기도 부천시 심곡동 497,1호선,1,1,30,400원/10분,,경기도 부천시 시설관리공단,2019-08-30,37.48418914,126.7841937
0002000029,2020,3105000,부천남부역,경기도 부천시 심곡본동 550-10,1호선,2,1,30,400원/10분,,경기도 부천시 시설관리공단,2019-08-30,37.48339424,126.7830925
0002000030,2020,3105000,부천역 남부 제2호,경기도 부천시 심곡본동 316-8,1호선,2,1,30,400원/10분,,경기도 부천시 시설관리공단,2019-08-30,37.48338489,126.7858694
1001000028,2020,1101000,종로3가역뒤,서울특별시 종로구 봉익동36,"1,3호선",1,1,5,500원/5분,,서울특별시 종로구청,2019-01-15,37.5723642,126.991879
1022000001,2020,1103000,한강진역,서울특별시 용산구 한남동 산10-84,6호선,2,2,5,250원/5분,,서울시설공단,2019-04-30,37.539028,127.002074
1031000002,2020,1104000,옥수역,서울특별시 성동구 옥수동 401-1,3호선,1,4,5,100원/5분,,서울시설공단,2019-04-30,37.542186,127.017163
1051000001,2020,1106000,회기역 주변,서울특별시 동대문구 휘경동 255-320,1호선,1,2,10,500원/10분,,서울특별시 동대문구청,2019-10-31,37.59026,127.0612
1062000002,2020,1107000,봉화산역(남),서울특별시 중랑구 신내동647,6호선,2,5,5,50원/5분,,서울시설공단,2019-04-30,37.616427,127.091907
1072000004,2020,1108000,길음환승,서울특별시 성북구 하월곡동 104-112,4호선,2,3,5,150원/5분,,성북구 도시관리공단,2019-10-10,37.60410099,127.0258339
1092000001,2020,1110000,창동역,서울특별시 도봉구 창동 1-9,"1,4호선",2,4,5,100원/5분,,서울시설공단,2019-04-30,37.654781,127.050827
1092000002,2020,1110000,도봉산역,서울특별시 도봉구 도봉동 288-19,"1,7호선",2,4,5,100원/5분,,서울시설공단,2019-04-30,37.689719,127.044822
1092000004,2020,1110000,창동역(서),서울특별시 도봉구 창동 330,"1,4호선",2,3,5,150원/5분,,서울시설공단,2019-04-30,37.652253,127.045832
1102000001,2020,1111000,수락산역,서울특별시 노원구 상계동 1268,7호선,2,4,5,100원/5분,,서울시설공단,2019-04-30,37.678552,127.055903
1102000002,2020,1111000,석계역,서울특별시 노원구 월계동 50-9,"1,6호선",2,3,5,150원/5분,,서울시설공단,2019-04-30,37.615487,127.062328
1102000003,2020,1111000,월계역,서울특별시 노원구 월계동 589-3,1호선,2,4,5,100원/5분,,서울시설공단,2019-04-30,37.633124,127.058825
1112000001,2020,1112000,구파발역,서울특별시 은평구 진관동 66-30,3호선,2,4,5,100원/5분,,서울시설공단,2019-04-30,37.638085,126.919142
1152000001,2020,1116000,개화산역,서울특별시 강서구 방화동 845,5호선,2,4,5,100원/5분,,서울시설공단,2019-04-30,37.572362,126.805774
1152000002,2020,1116000,개화역,서울특별시 강서구 개화동 490-3,9호선,2,4,5,100원/5분,,서울시설공단,2019-04-30,37.577917,126.798208
1152000005,2020,1116000,공항동(송정역),서울특별시 강서구 공항동 42-8,5호선,2,3,5,150원/5분,,서울시설공단,2019-04-30,37.560321,126.810614
1152000006,2020,1116000,방화역(동),서울특별시 강서구 방화동 830-4,"5,9호선",2,4,5,100원/5분,,서울시설공단,2019-04-30,37.57725,126.813278
1152000007,2020,1116000,방화역(서),서울특별시 강서구 방화동 829-1,"5,9호선",2,4,5,100원/5분,,서울시설공단,2019-04-30,37.577527,126.812129
1152000010,2020,1116000,신방화역환승주차장,서울특별시 강서구 마곡동 739,9호선,2,4,5,100원/5분,,서울시설공단,2019-04-30,37.566771,126.818054
1161000001,2020,1117000,대림역2,서울특별시 구로구 구로동 73-9,"2,7호선",1,3,5,150원/5분,,서울시설공단,2019-04-30,37.494945,126.893836
1161000003,2020,1117000,개봉역(남단),서울특별시 구로구 개봉동 403-31,1호선,1,2,5,250원/5분,,서울시설공단,2019-04-30,37.493024,126.856043
1161000004,2020,1117000,개봉역(북),서울특별시 구로구 개봉동 353-23,1호선,1,3,5,150원/5분,,서울시설공단,2019-04-30,37.495483,126.856286
1161000005,2020,1117000,개봉역(중앙),서울특별시 구로구 개봉동 403-10,1호선,1,2,5,250원/5분,,서울시설공단,2019-04-30,37.494479,126.856192
1161000007,2020,1117000,온수역(남),서울특별시 구로구 온수동51-26,"1,7호선",1,4,5,100원/5분,,서울시설공단,2019-04-30,37.491898,126.824149
1161000008,2020,1117000,온수역(북),서울특별시 구로구 온수동20-1,"1,7호선",1,4,5,100원/5분,,서울시설공단,2019-04-30,37.492722,126.821463
1162000001,2020,1117000,구로디지털단지역,서울특별시 구로구 구로동 1123,2호선,2,3,5,100원/5분,,서울시설공단,2019-04-30,37.485258,126.901611
1162000002,2020,1117000,천왕역,서울특별시 구로구 오류동 174-10,7호선,2,4,5,100원/5분,,서울시설공단,2019-04-30,37.4866,126.83889
1162000004,2020,1117000,신도림역 환승,서울특별시 구로구 구로동 1-4,"1,2호선",2,4,5,100원/5분,,서울특별시 구로구시설관리공단,2019-11-01,37.50786415,126.8922188
1164000009,2020,1117000,개봉역 1번출구 주차장,서울특별시 구로구개봉동203-27,1호선,2,,60,3000원/60분,,구로구,2019-11-01,37.494487,126.858158
